,wind_error,wind_error,solar_error,solar_error,total_error,total_error
,std,mean,std,mean,std,mean
year,,,,,,
2018,1757.7593979018043,224.31516968325786,563.903013138138,-101.07295588235293,1878.7327404199148,123.24221380090492
2019,1646.1049474800889,159.66352368721465,678.8063703784173,30.368882420091342,1789.1472744079085,190.03240610730597
2020,1733.7748932052752,75.31301238995144,722.253105273717,8.106606329690347,1864.032692810057,83.41961871964178
2021,1599.6679196204484,64.456774543379,785.3614687988705,-31.0552408675799,1746.0267539119923,33.401533675799094
2022,1690.719509262325,209.0879125761035,856.293103067655,25.22485131278539,1914.016506870591,234.31276388888887
2023,1971.183854154617,93.7866700913242,919.6771108740713,-16.67616723744291,2182.396869464844,77.11050285388129
2024,1977.941874891781,-21.667898831208266,1165.792305836062,-122.439585325592,2297.874842500355,-144.10748415680024
2025,1914.6832089217185,193.8527594894597,1334.5229776608653,13.724475192846263,2299.153391892327,207.5772346823059
2026,2415.2807049805406,-227.65670712093214,1133.469040553461,29.111236615932214,2826.9688159389343,-198.54547050499997
